1234 INFO  [main]  Spider  - a http://us.ard.yahoo.com/SIG=12jmot0k7/M=261366.4008387.5258380.3595621/D=yahoo_top/S=2716149:FPC1/_ylt=A0SOxU3EB9RCOecAxz_1cSkA/Y=YAHOO/EXP=1121199076/A=1798789/R=0/SIG=1124qkssh/*http://geocities.yahoo.com/home/
1234 DEBUG  [main]  Spider  - End :a
1234 DEBUG  [main]  Spider  - End :font
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - Start :td
1234 DEBUG  [main]  Spider  - Start :font
1234 INFO  [main]  Spider  - a r/do
1234 DEBUG  [main]  Spider  - End :a
1234 DEBUG  [main]  Spider  - Start :script
1234 DEBUG  [main]  Spider  - End :script
1234 DEBUG  [main]  Spider  - Simple Tag :noscript
1234 DEBUG  [main]  Spider  - Simple Tag :img
1234 DEBUG  [main]  Spider  - Simple Tag :noscript
1234 DEBUG  [main]  Spider  - End :font
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - Start :tr
1234 DEBUG  [main]  Spider  - Start :td
1234 DEBUG  [main]  Spider  - Start :font
1234 INFO  [main]  Spider  - a http://us.ard.yahoo.com/SIG=12j4kd0d9/M=351034.6608705.7568495.3595627/D=yahoo_top/S=2716149:FPC4/_ylt=A0SOxU3EB9RCOecAyD_1cSkA/Y=YAHOO/EXP=1121199076/A=2780539/R=0/SIG=13mgvrn8j/*http://football.fantasysports.yahoo.com?ovchn=YAH&ovcpn=Front+Page&ovcrn=FP+Premium+Services+Link&ovrfd=YAH&ovtac=AD
1234 DEBUG  [main]  Spider  - End :a
1234 DEBUG  [main]  Spider  - End :font
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - Start :td
1234 DEBUG  [main]  Spider  - Start :font
1234 INFO  [main]  Spider  - a r/em
1234 DEBUG  [main]  Spider  - End :a
1234 DEBUG  [main]  Spider  - End :font
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - End :table
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - End :table
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - End :table
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - End :table
1234 DEBUG  [main]  Spider  - Start :table
1234 DEBUG  [main]  Spider  - Start :tr
1234 DEBUG  [main]  Spider  - Start :td
1234 DEBUG  [main]  Spider  - Simple Tag :spacer
1234 DEBUG  [main]  Spider  - End :td
1234 DEBUG  [main]  Spider  - End :tr
1234 DEBUG  [main]  Spider  - End :table
1234 DEBUG  [main]  Spider  - Start :table
